FECHA,PROVINCIA,TIPO_TRANSPORTE,TOTAL_VIAJES
2024-01-01,BUENOS AIRES,COLECTIVO,907993
2024-01-01,BUENOS AIRES,LANCHAS,685
2024-01-01,CATAMARCA,COLECTIVO,6970
2024-01-01,CHACO,COLECTIVO,19452
2024-01-01,CHUBUT,COLECTIVO,10918
2024-01-01,CORDOBA,COLECTIVO,237
2024-01-01,CORRIENTES,COLECTIVO,17115
2024-01-01,ENTRE RÍOS,COLECTIVO,15650
2024-01-01,FORMOSA,COLECTIVO,4734
2024-01-01,JUJUY,COLECTIVO,9050
2024-01-01,LA PAMPA,COLECTIVO,880
2024-01-01,MENDOZA,COLECTIVO,142276
2024-01-01,NEUQUÉN,COLECTIVO,20049
2024-01-01,RÍO NEGRO,COLECTIVO,12882
2024-01-01,SAN LUIS,COLECTIVO,9344
2024-01-01,SANTA CRUZ,COLECTIVO,182
2024-01-01,SANTA FE,COLECTIVO,97639
2024-01-01,TIERRA DEL FUEGO,COLECTIVO,4102
2024-01-02,BUENOS AIRES,LANCHAS,1882
2024-01-02,BUENOS AIRES,COLECTIVO,3966144
2024-01-02,CATAMARCA,COLECTIVO,33766
2024-01-02,CHACO,COLECTIVO,63655
2024-01-02,CHUBUT,COLECTIVO,52479
2024-01-02,CORDOBA,COLECTIVO,1869
2024-01-02,CORRIENTES,COLECTIVO,51618
2024-01-02,ENTRE RÍOS,COLECTIVO,67058
2024-01-02,FORMOSA,COLECTIVO,18643
2024-01-02,JUJUY,COLECTIVO,140177
2024-01-02,LA PAMPA,COLECTIVO,6223
2024-01-02,MENDOZA,COLECTIVO,460138
2024-01-02,NEUQUÉN,COLECTIVO,59058
2024-01-02,RÍO NEGRO,COLECTIVO,47562
2024-01-02,SAN JUAN,COLECTIVO,183849
2024-01-02,SAN LUIS,COLECTIVO,34467
2024-01-02,SANTA CRUZ,COLECTIVO,4096
2024-01-02,SANTA FE,COLECTIVO,388361
2024-01-02,SANTIAGO DEL ESTERO,COLECTIVO,1325
2024-01-02,TIERRA DEL FUEGO,COLECTIVO,20061
2024-01-03,BUENOS AIRES,LANCHAS,1832
2024-01-03,BUENOS AIRES,COLECTIVO,4392564
2024-01-03,CATAMARCA,COLECTIVO,37823
2024-01-03,CHACO,COLECTIVO,70744
2024-01-03,CHUBUT,COLECTIVO,60115
2024-01-03,CORDOBA,COLECTIVO,2218
2024-01-03,CORRIENTES,COLECTIVO,57743
2024-01-03,ENTRE RÍOS,COLECTIVO,75607
2024-01-03,FORMOSA,COLECTIVO,21602
2024-01-03,JUJUY,COLECTIVO,170159
2024-01-03,LA PAMPA,COLECTIVO,7288
2024-01-03,MENDOZA,COLECTIVO,545728
2024-01-03,NEUQUÉN,COLECTIVO,67273
2024-01-03,RÍO NEGRO,COLECTIVO,52221
2024-01-03,SAN JUAN,COLECTIVO,213627
2024-01-03,SAN LUIS,COLECTIVO,40970
2024-01-03,SANTA CRUZ,COLECTIVO,5835
2024-01-03,SANTA FE,COLECTIVO,437505
2024-01-03,SANTIAGO DEL ESTERO,COLECTIVO,1662
2024-01-03,TIERRA DEL FUEGO,COLECTIVO,22490
2024-01-04,BUENOS AIRES,COLECTIVO,4542485
2024-01-04,BUENOS AIRES,LANCHAS,1764
2024-01-04,CATAMARCA,COLECTIVO,40211
2024-01-04,CHACO,COLECTIVO,74336
2024-01-04,CHUBUT,COLECTIVO,61556
2024-01-04,CORDOBA,COLECTIVO,2483
2024-01-04,CORRIENTES,COLECTIVO,59156
2024-01-04,ENTRE RÍOS,COLECTIVO,80293
2024-01-04,FORMOSA,COLECTIVO,23753
2024-01-04,JUJUY,COLECTIVO,181057
2024-01-04,LA PAMPA,COLECTIVO,7479
2024-01-04,MENDOZA,COLECTIVO,557151
2024-01-04,NEUQUÉN,COLECTIVO,73296
2024-01-04,RÍO NEGRO,COLECTIVO,53678
2024-01-04,SAN JUAN,COLECTIVO,226922
2024-01-04,SAN LUIS,COLECTIVO,41735
2024-01-04,SANTA CRUZ,COLECTIVO,5763
2024-01-04,SANTA FE,COLECTIVO,447316
2024-01-04,SANTIAGO DEL ESTERO,COLECTIVO,864
2024-01-04,TIERRA DEL FUEGO,COLECTIVO,22288
2024-01-05,BUENOS AIRES,LANCHAS,1961
2024-01-05,BUENOS AIRES,COLECTIVO,4761195
2024-01-05,CATAMARCA,COLECTIVO,42153
2024-01-05,CHACO,COLECTIVO,81749
2024-01-05,CHUBUT,COLECTIVO,66701
2024-01-05,CORDOBA,COLECTIVO,2315
2024-01-05,CORRIENTES,COLECTIVO,65300
2024-01-05,ENTRE RÍOS,COLECTIVO,84281
2024-01-05,FORMOSA,COLECTIVO,26151
2024-01-05,JUJUY,COLECTIVO,194031
2024-01-05,LA PAMPA,COLECTIVO,7923
2024-01-05,MENDOZA,COLECTIVO,590451
2024-01-05,NEUQUÉN,COLECTIVO,77406
2024-01-05,RÍO NEGRO,COLECTIVO,54864
2024-01-05,SAN JUAN,COLECTIVO,254375
2024-01-05,SAN LUIS,COLECTIVO,44680
2024-01-05,SANTA CRUZ,COLECTIVO,6180
2024-01-05,SANTA FE,COLECTIVO,469707
2024-01-05,SANTIAGO DEL ESTERO,COLECTIVO,1100
2024-01-05,TIERRA DEL FUEGO,COLECTIVO,23349
2024-01-06,BUENOS AIRES,COLECTIVO,3440808
2024-01-06,BUENOS AIRES,LANCHAS,1831
2024-01-06,CATAMARCA,COLECTIVO,25526
2024-01-06,CHACO,COLECTIVO,55735
2024-01-06,CHUBUT,COLECTIVO,47227
2024-01-06,CORDOBA,COLECTIVO,1013
2024-01-06,CORRIENTES,COLECTIVO,42886
2024-01-06,ENTRE RÍOS,COLECTIVO,18953
2024-01-06,FORMOSA,COLECTIVO,19367
2024-01-06,JUJUY,COLECTIVO,138591
2024-01-06,LA PAMPA,COLECTIVO,4743
2024-01-06,MENDOZA,COLECTIVO,402690
2024-01-06,NEUQUÉN,COLECTIVO,58499
2024-01-06,RÍO NEGRO,COLECTIVO,6609
2024-01-06,SAN JUAN,COLECTIVO,177039
2024-01-06,SAN LUIS,COLECTIVO,27531
2024-01-06,SANTA CRUZ,COLECTIVO,4177
2024-01-06,SANTA FE,COLECTIVO,260070
2024-01-06,SANTIAGO DEL ESTERO,COLECTIVO,630
2024-01-06,TIERRA DEL FUEGO,COLECTIVO,16789
2024-01-07,BUENOS AIRES,LANCHAS,1194
2024-01-07,BUENOS AIRES,COLECTIVO,1609721
2024-01-07,CATAMARCA,COLECTIVO,14859
2024-01-07,CHACO,COLECTIVO,34328
2024-01-07,CHUBUT,COLECTIVO,24805
2024-01-07,CORDOBA,COLECTIVO,590
2024-01-07,CORRIENTES,COLECTIVO,25800
2024-01-07,ENTRE RÍOS,COLECTIVO,11449
2024-01-07,FORMOSA,COLECTIVO,10321
2024-01-07,JUJUY,COLECTIVO,78249
2024-01-07,LA PAMPA,COLECTIVO,1594
2024-01-07,MENDOZA,COLECTIVO,229640
2024-01-07,NEUQUÉN,COLECTIVO,34141
2024-01-07,RÍO NEGRO,COLECTIVO,1873
2024-01-07,SAN JUAN,COLECTIVO,96551
2024-01-07,SAN LUIS,COLECTIVO,15217
2024-01-07,SANTA CRUZ,COLECTIVO,2265
2024-01-07,SANTA FE,COLECTIVO,161400
2024-01-07,TIERRA DEL FUEGO,COLECTIVO,9628
2024-01-08,BUENOS AIRES,LANCHAS,2234
2024-01-08,BUENOS AIRES,COLECTIVO,4416356
2024-01-08,CATAMARCA,COLECTIVO,38414
2024-01-08,CHACO,COLECTIVO,75713
2024-01-08,CHUBUT,COLECTIVO,67897
2024-01-08,CORDOBA,COLECTIVO,2826
2024-01-08,CORRIENTES,COLECTIVO,58168
2024-01-08,ENTRE RÍOS,COLECTIVO,44819
2024-01-08,FORMOSA,COLECTIVO,24059
2024-01-08,JUJUY,COLECTIVO,171758
2024-01-08,LA PAMPA,COLECTIVO,7465
2024-01-08,MENDOZA,COLECTIVO,532469
2024-01-08,NEUQUÉN,COLECTIVO,77119
2024-01-08,RÍO NEGRO,COLECTIVO,10172
2024-01-08,SAN JUAN,COLECTIVO,220880
2024-01-08,SAN LUIS,COLECTIVO,38199
